id,user_id,account_id,category,date,merchant,amount,currency,other,is_removed
epGlJWAvo1SPJqzb848EtGnknD5MDBHrmADwv,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2024-02-06,Uber,6.33,USD,NULL,0
QqdwWDxJKmtxvDoGa3aVhaArAdxmdGSwDbod6,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2024-01-24,Uber,5.4,USD,NULL,0
BjME5bGRQ9IjMqpQVNVgFX393GEZGxC4gmyGG,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2024-01-20,FUN,89.4,USD,NULL,0
3Rr4vAjKqdT1XrLZ7e7VTlx6xPVNPBcZE4Ja1,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,lkGx1nvZldfDdmJ53e31fz8g5KDLZrtnNA6PX,[object Object],2024-01-24,NULL,25,USD,NULL,0
xjG1Xn4rP5IzJvNQdRdDT7ByBm6rmxU6erwEo,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,lkGx1nvZldfDdmJ53e31fz8g5KDLZrtnNA6PX,[object Object],2024-01-20,NULL,-4.22,USD,NULL,0
dLkvJ6Wwp8slnw1pgJgBHlAqAyoJyxcJRVN3k,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,q3GPjyrRB9FoJ4KqMVMmHvnPzwG3aqtLxXBpa,[object Object],NULL,NULL,1000,USD,NULL,0
aZ8v3bgeM9HdWJ1aw8wGhAGPG8Dw8yCZDy49E,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,KoKvVDqnEZtqzL3nRlRKHlQp8weqAWFKJ3rdy,[object Object],NULL,United Airlines,500,USD,NULL,0
4RzNV57rKGToZQ4JbabvHbrKr7vL7atJLG5xr,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,KoKvVDqnEZtqzL3nRlRKHlQp8weqAWFKJ3rdy,[object Object],NULL,NULL,500,USD,NULL,0
NEBvnDzRGgczxaXgkrkdTMNnNDpRD9SyQRZ1Z,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,KoKvVDqnEZtqzL3nRlRKHlQp8weqAWFKJ3rdy,[object Object],NULL,NULL,500,USD,NULL,0
PlxvED3bqoU3awzrxGxRhBmKmjpQjeuoAqd4a,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,KoKvVDqnEZtqzL3nRlRKHlQp8weqAWFKJ3rdy,[object Object],NULL,KFC,500,USD,NULL,0
jW9BgnybAPi7emL3z8zWHMgNgPARPpS6an43e,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,KoKvVDqnEZtqzL3nRlRKHlQp8weqAWFKJ3rdy,[object Object],NULL,NULL,2078.5,USD,NULL,0
7Kx7VDZpBluAgBVNMwMJHwb4bRBKRDFdxDQGa,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,KoKvVDqnEZtqzL3nRlRKHlQp8weqAWFKJ3rdy,[object Object],2024-01-22,NULL,78.5,USD,NULL,0
epGlJWAvo1SPJqzb848EtGnknD5MDBHrmADwK,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,KoKvVDqnEZtqzL3nRlRKHlQp8weqAWFKJ3rdy,[object Object],NULL,United Airlines,500,USD,NULL,0
QqdwWDxJKmtxvDoGa3aVhaArAdxmdGSwDbodr,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,rxGk5nzJ39HZjorqBnBgHWZreN9d5qSpmBN8A,[object Object],NULL,NULL,5850,USD,NULL,0
bMGvjWkx1gSQA3nMXpXqTeAzGrGLgDINwV6dj,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2024-01-07,Uber,6.33,USD,NULL,0
mKGd9nR5qbu6aDd5p8pWCmnWyvyqB5CM5LQWa,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-12-25,Uber,5.4,USD,NULL,0
y7XLbnNVj5CBnXPZ4d4Kh3AKXDXn5QSWQy8lZ,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-12-24,United Airlines,-500,USD,NULL,0
9zaQwE18xKhAgnVE4L4KHVgkoEo17wtVmR95e,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-12-23,McDonald's,12,USD,NULL,0
vNwZRndq4ATKeXNDx9xWHzrWkZkAqDfnDWZEa,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-12-23,Starbucks,4.33,USD,NULL,0
RKav1Dd8roudN63G9x9XhE17VoVavWHXQRoBz,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-12-21,FUN,89.4,USD,NULL,0
6q3jBEQgzdtA6PLyWxWgHDJejdjM6AtbRgPyg,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-12-08,Uber,6.33,USD,NULL,0
XdevwW78aBT7ZdNK9r9oHPlwdEdjyNiPRdv3b,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-11-25,Uber,5.4,USD,NULL,0
DeLAwDb8MVHbexZaqjqGHWpl3R3xJBhE8vLk4,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-11-24,United Airlines,-500,USD,NULL,0
M8zvZDr7AoSr3Bqjbmb8fJZVZNpGN3cL1axog,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2024-01-22,McDonald's,12,USD,NULL,0
zeGp5XPm79HyVdNo9w96hPxVxgj3gdclQkaG5,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2024-01-22,Starbucks,4.33,USD,NULL,0
5lBPVmeor6UAnle1N3NGHKyBX4X57mt3DZQWg,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-11-21,FUN,89.4,USD,NULL,0
JpqvbDlE89SlrxnRkzkJHZN3wEw1gBuoLde91,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-11-08,Uber,6.33,USD,NULL,0
kl63mW9yGkUMxAJb383aIwz46v6VjbIzbW1Xm,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-10-26,Uber,5.4,USD,NULL,0
lkGx1nvZldfDdmJ53e31fwj1GyGnZrIEvZmkN,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-10-25,United Airlines,-500,USD,NULL,0
q3GPjyrRB9FoJ4KqMVMmHVZBWgWxaqtNqdyZB,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-10-24,McDonald's,12,USD,NULL,0
KoKvVDqnEZtqzL3nRlRKHa3xdVdBAWHGvVDL3,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-10-24,Starbucks,4.33,USD,NULL,0
rxGk5nzJ39HZjorqBnBgHPngG3Go5qiavlknq,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-10-22,FUN,89.4,USD,NULL,0
zeGp5XPm79HyVdNo9w96hPxnpRpbWoiwGoXzA,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-10-09,Uber,6.33,USD,NULL,0
BjME5bGRQ9IjMqpQVNVgFX3MRkReVwiAGwxQD,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-09-26,Uber,5.4,USD,NULL,0
3Rr4vAjKqdT1XrLZ7e7VTlxEL9LvmdtMaqVB4,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-09-25,United Airlines,-500,USD,NULL,0
xjG1Xn4rP5IzJvNQdRdDT7BDb8bRgQCJEnKql,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-09-24,McDonald's,12,USD,NULL,0
dLkvJ6Wwp8slnw1pgJgBHlAPENEb5atD3Znx4,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-09-24,Starbucks,4.33,USD,NULL,0
aZ8v3bgeM9HdWJ1aw8wGhAGWZQZ6jbT197Kx8,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-09-22,FUN,89.4,USD,NULL,0
4RzNV57rKGToZQ4JbabvHbrzD6DwdnCnxdRwB,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-09-09,Uber,6.33,USD,NULL,0
NEBvnDzRGgczxaXgkrkdTMN4QbQ1P6Hn1WAqg,985913ca-926c-4fcb-a5ac-3c59c4ad0fb0,7Kx7VDZpBluAgBVNMwMJH7yMrKDqjvh63VrDG,[object Object],2023-08-27,Uber,5.4,USD,NULL,0
